Date,Close/Last,Volume,Open,High,Low
05/22/2026,$22.71,16884700,$21.87,$23.09,$21.78
05/21/2026,$21.59,15986860,$22.30,$22.65,$21.41
05/20/2026,$22.58,17590790,$22.43,$22.8499,$21.78
05/19/2026,$23.27,34473100,$24.60,$25.84,$23.09
05/18/2026,$24.36,39321690,$22.136,$24.41,$21.60
05/15/2026,$22.92,77424650,$22.28,$23.93,$21.31
05/14/2026,$20.24,49141810,$19.85,$20.45,$19.05
05/13/2026,$18.94,13430050,$19.165,$19.305,$18.515
05/12/2026,$19.33,10118840,$20.00,$20.03,$19.155
05/11/2026,$20.05,14182350,$20.50,$21.19,$19.61
05/08/2026,$20.66,10563650,$20.00,$20.88,$19.63
05/07/2026,$20.56,18444490,$20.21,$21.50,$20.09
05/06/2026,$19.29,15420310,$19.35,$19.64,$18.79
05/05/2026,$19.42,12728640,$20.04,$20.04,$18.99
05/04/2026,$19.96,19307350,$18.74,$20.66,$18.70
05/01/2026,$18.74,24134210,$18.725,$19.28,$18.255
04/30/2026,$17.70,13547960,$16.72,$18.00,$16.60
04/29/2026,$16.86,10767380,$17.13,$17.25,$16.68
04/28/2026,$17.18,9870172,$17.50,$17.685,$17.135
04/27/2026,$17.31,10729690,$17.35,$17.805,$17.02
04/24/2026,$17.47,20942080,$17.35,$17.50,$16.69
04/23/2026,$17.32,23425560,$18.50,$18.56,$16.80
04/22/2026,$19.17,10642160,$18.91,$19.60,$18.80
04/21/2026,$18.72,21954550,$19.00,$20.33,$18.66
04/20/2026,$19.01,13533400,$18.69,$19.33,$18.50
04/17/2026,$18.92,37423980,$20.97,$21.45,$18.61
04/16/2026,$20.32,21745440,$21.235,$21.30,$19.30
04/15/2026,$20.34,18388660,$18.97,$20.48,$18.6201
04/14/2026,$18.42,23762370,$19.55,$20.25,$17.65
04/13/2026,$19.18,14804890,$18.115,$19.41,$17.75
04/10/2026,$18.16,16568020,$19.08,$19.15,$17.73
04/09/2026,$19.08,15769800,$20.01,$20.215,$18.78
04/08/2026,$20.15,15415300,$22.50,$23.15,$20.125
04/07/2026,$21.19,6702965,$21.19,$21.50,$20.67
04/06/2026,$21.42,5686889,$21.38,$21.698,$21.0478
04/02/2026,$21.27,8354683,$20.46,$21.43,$19.7008
04/01/2026,$20.42,9332957,$21.49,$21.56,$20.30
03/31/2026,$21.14,13270100,$20.31,$21.46,$20.10
03/30/2026,$20.16,7983649,$20.21,$20.60,$19.83
03/27/2026,$20.19,16960460,$21.61,$21.63,$19.82
03/26/2026,$22.15,12794710,$20.99,$22.425,$20.91
03/25/2026,$21.09,15447810,$22.25,$22.45,$20.72
03/24/2026,$21.87,22875060,$22.65,$22.91,$21.31
03/23/2026,$23.20,14347640,$23.80,$24.1789,$22.75
03/20/2026,$23.73,18151460,$23.85,$24.17,$23.05
03/19/2026,$24.22,19230120,$25.00,$25.72,$23.53
03/18/2026,$25.26,17146230,$27.09,$27.32,$24.85
03/17/2026,$27.45,6134935,$27.02,$27.955,$27.00
03/16/2026,$27.16,8788735,$26.32,$27.20,$26.2363
03/13/2026,$26.03,9088016,$26.20,$26.765,$25.4301
03/12/2026,$26.17,9542983,$27.89,$28.50,$26.14
03/11/2026,$27.84,8962961,$28.60,$29.77,$27.66
03/10/2026,$28.35,10292000,$30.10,$30.30,$28.24
03/09/2026,$30.48,12913280,$28.70,$30.66,$28.5907
03/06/2026,$29.11,8577928,$29.61,$29.70,$28.7187
03/05/2026,$30.30,14166640,$29.58,$31.94,$29.15
03/04/2026,$29.64,12027290,$30.57,$31.30,$29.52
03/03/2026,$30.74,12243970,$28.47,$30.90,$27.95
03/02/2026,$29.29,12043710,$28.50,$29.89,$28.28
02/27/2026,$29.39,13065840,$28.59,$29.97,$28.4965
02/26/2026,$30.22,26026580,$30.42,$32.6525,$29.87
02/25/2026,$31.24,28113710,$28.48,$31.64,$28.48
02/24/2026,$27.43,23545440,$24.75,$27.52,$24.74
02/23/2026,$24.75,26505050,$25.20,$25.23,$23.45
02/20/2026,$26.09,42577660,$25.49,$28.42,$25.07
02/19/2026,$25.86,65989890,$26.00,$26.50,$23.28
02/18/2026,$24.19,25278150,$23.11,$24.85,$22.8418
02/17/2026,$23.10,12748240,$23.00,$23.58,$21.965
02/13/2026,$22.53,9365177,$22.47,$23.37,$22.17
02/12/2026,$22.02,9605399,$22.60,$22.835,$21.15
02/11/2026,$22.57,12262360,$23.68,$23.69,$22.17
02/10/2026,$24.10,27066920,$22.23,$25.17,$21.90
02/09/2026,$22.13,8852053,$21.54,$22.43,$20.94
02/06/2026,$21.99,12071610,$22.525,$22.95,$20.95
02/05/2026,$22.20,25140340,$21.83,$22.9699,$21.42
02/04/2026,$22.51,24193960,$21.02,$22.72,$19.85
02/03/2026,$21.39,25595890,$23.40,$23.42,$20.9421
02/02/2026,$24.00,14686720,$25.67,$25.82,$23.99
01/30/2026,$25.92,9106346,$27.00,$27.12,$25.91
01/29/2026,$27.07,11330840,$29.64,$29.78,$26.75
01/28/2026,$30.06,7587034,$28.85,$30.26,$28.31
01/27/2026,$28.46,6393430,$29.05,$29.29,$27.98
01/26/2026,$29.17,6760355,$28.94,$29.69,$28.22
01/23/2026,$28.93,6581159,$28.25,$29.48,$27.87
01/22/2026,$28.42,12308940,$27.45,$28.92,$27.07
01/21/2026,$27.07,11862910,$27.71,$27.86,$26.79
01/20/2026,$27.76,14621780,$28.18,$28.788,$27.48
01/16/2026,$29.57,14904600,$31.55,$31.55,$29.48
01/15/2026,$31.60,7897298,$32.30,$32.4698,$31.60
01/14/2026,$32.36,8960324,$33.86,$34.14,$32.07
01/13/2026,$33.56,14265800,$36.09,$36.535,$33.03
01/12/2026,$36.40,5117267,$37.10,$37.77,$36.05
01/09/2026,$37.33,4021687,$37.19,$38.05,$35.97
01/08/2026,$37.27,3881533,$37.16,$37.78,$36.15
01/07/2026,$37.26,3169788,$36.83,$37.90,$36.4411
01/06/2026,$37.49,4985077,$36.80,$37.50,$35.71
01/05/2026,$37.07,7240933,$38.10,$38.54,$36.30
01/02/2026,$37.61,5350298,$38.00,$38.17,$36.23
12/31/2025,$37.37,5020669,$37.05,$37.6495,$36.53
12/30/2025,$37.63,3604663,$37.75,$38.40,$37.4705
12/29/2025,$37.83,3631628,$37.77,$38.6792,$37.66
12/26/2025,$38.54,3281988,$39.26,$39.37,$37.88
12/24/2025,$38.86,1552759,$38.30,$38.9349,$38.11
12/23/2025,$38.39,3861056,$38.60,$38.87,$37.41
12/22/2025,$39.25,4575798,$40.00,$40.18,$38.8209
12/19/2025,$39.48,5513891,$37.70,$39.50,$37.4355
12/18/2025,$36.99,5574374,$37.88,$38.49,$36.57
12/17/2025,$37.36,6076497,$36.00,$37.80,$35.857
12/16/2025,$35.94,4747848,$34.66,$36.18,$34.66
12/15/2025,$35.08,7219429,$35.81,$35.91,$33.925
12/12/2025,$36.07,5021802,$38.67,$38.68,$36.01
12/11/2025,$38.69,4020558,$38.91,$38.91,$37.81
12/10/2025,$39.26,6343591,$38.35,$40.28,$38.127
12/09/2025,$38.47,4096820,$37.32,$39.01,$36.99
12/08/2025,$37.65,4985442,$38.00,$38.0675,$36.64
12/05/2025,$37.97,5004804,$38.40,$38.833,$37.40
12/04/2025,$38.71,6476091,$37.32,$39.1499,$36.70
12/03/2025,$37.37,4053145,$36.28,$37.50,$35.325
12/02/2025,$36.18,5091779,$36.10,$36.86,$35.83
12/01/2025,$35.69,6044628,$35.10,$36.10,$34.26
11/28/2025,$35.97,2927822,$36.26,$36.55,$35.60
11/26/2025,$36.13,4800523,$35.60,$36.45,$34.82
11/25/2025,$35.50,5388310,$35.01,$35.63,$33.50
11/24/2025,$35.47,7173870,$34.37,$35.715,$33.35
11/21/2025,$34.31,7307342,$33.55,$34.56,$32.83
11/20/2025,$33.57,8622454,$36.41,$36.894,$33.42
11/19/2025,$35.74,6637141,$36.59,$36.70,$35.5001
11/18/2025,$36.76,9129227,$36.48,$37.325,$35.72
11/17/2025,$37.38,14106750,$37.80,$38.53,$36.56
11/14/2025,$38.53,8574128,$40.00,$41.239,$38.53
11/13/2025,$40.56,10436000,$43.21,$43.315,$40.02
11/12/2025,$44.00,5308954,$44.24,$45.42,$43.41
11/11/2025,$44.48,9644496,$43.83,$44.98,$42.90
11/10/2025,$44.42,12845060,$44.75,$44.8343,$42.24
11/07/2025,$44.25,32071000,$44.52,$45.02,$43.00
11/06/2025,$45.98,20916670,$45.82,$46.7899,$43.00
11/05/2025,$44.01,14285490,$46.12,$46.54,$43.80
11/04/2025,$45.81,7701246,$46.35,$48.69,$45.44
11/03/2025,$48.17,8654474,$49.95,$50.04,$47.43
10/31/2025,$49.84,8198981,$48.47,$50.30,$46.88
10/30/2025,$48.84,6417380,$50.07,$50.42,$48.68
10/29/2025,$50.81,5824525,$52.10,$52.64,$50.206
10/28/2025,$51.89,4810107,$54.75,$54.75,$51.82
10/27/2025,$53.14,4333207,$54.48,$55.27,$52.73
10/24/2025,$53.36,4439751,$54.55,$55.48,$53.00
10/23/2025,$53.35,3545840,$53.36,$53.68,$52.00
10/22/2025,$52.81,8750192,$54.72,$54.85,$51.10
10/21/2025,$55.71,5368193,$55.88,$57.2499,$54.92
10/20/2025,$55.71,7895555,$58.18,$58.58,$54.00
10/17/2025,$56.84,7529095,$57.00,$57.9873,$54.10
